club_name,canonical_name,league_name,city,state,source_url,source_type,website
San Antonio FC,San Antonio,MLS NEXT,San Antonio,TX,https://www.mlsnextsoccer.com/clubs,,
San Francisco Glens,San Francisco Glens,MLS NEXT,San Francisco,CA,https://www.mlsnextsoccer.com/clubs,,
San Francisco Seals,San Francisco Seals,MLS NEXT,San Francisco,CA,https://www.mlsnextsoccer.com/clubs,,
San Jose Earthquakes Academy,San Jose Earthquakes Academy,MLS NEXT,Santa Clara,CA,https://www.mlsnextsoccer.com/clubs,,
Santa Barbara SC,Santa Barbara,MLS NEXT,Santa Barbara,CA,https://www.mlsnextsoccer.com/clubs,,
SC Del Sol,Del Sol,MLS NEXT,Phoenix,AZ,https://www.mlsnextsoccer.com/clubs,,
SC Wave,Wave,MLS NEXT,Franklin,WI,https://www.mlsnextsoccer.com/clubs,,
Seacoast United,Seacoast,MLS NEXT,Hampton,NH,https://www.mlsnextsoccer.com/clubs,,
Seattle Sounders FC Academy,Seattle Sounders Academy,MLS NEXT,Tukwila,WA,https://www.mlsnextsoccer.com/clubs,,
Shattuck-St. Mary's,Shattuck-St. Mary'S,MLS NEXT,Faribault,MN,https://www.mlsnextsoccer.com/clubs,,
Sheriffs Futbol Club,Sheriffs Futbol,MLS NEXT,Hayward,CA,https://www.mlsnextsoccer.com/clubs,,
Silicon Valley SA,Silicon Valley Sa,MLS NEXT,Palo Alto,CA,https://www.mlsnextsoccer.com/clubs,,
SoCal Reds FC,Socal Reds,MLS NEXT,Irvine,CA,https://www.mlsnextsoccer.com/clubs,,
Sockers FC Chicago,Sockers Chicago,MLS NEXT,Palatine,IL,https://www.mlsnextsoccer.com/clubs,,
Solar SC,Solar,MLS NEXT,Trophy Club,TX,https://www.mlsnextsoccer.com/clubs,,
South Florida FA,South Florida Fa,MLS NEXT,Boca Raton,FL,https://www.mlsnextsoccer.com/clubs,,
Southern Soccer Academy,Southern Academy,MLS NEXT,Atlanta,GA,https://www.mlsnextsoccer.com/clubs,,
Southern States Soccer Club,Southern States,MLS NEXT,Hattiesburg,MS,https://www.mlsnextsoccer.com/clubs,,
Sporting Athletic Club,Sporting Athletic,MLS NEXT,Wilmington,DE,https://www.mlsnextsoccer.com/clubs,,
Sporting Kansas City Academy,Sporting Kansas Academy,MLS NEXT,Kansas City,KS,https://www.mlsnextsoccer.com/clubs,,
Sporting City,Sporting,MLS NEXT,Kansas City,MO,https://www.mlsnextsoccer.com/clubs,,
Springfield South County Youth Club,Springfield South County,MLS NEXT,Springfield,VA,https://www.mlsnextsoccer.com/clubs,,
Strikers FC,Strikers,MLS NEXT,Irvine,CA,https://www.mlsnextsoccer.com/clubs,,
St. Louis City SC,St. Louis,MLS NEXT,St. Louis,MO,https://www.mlsnextsoccer.com/clubs,,
St. Louis Scott Gallagher,St. Louis Scott Gallagher,MLS NEXT,Fenton,MO,https://www.mlsnextsoccer.com/clubs,,
Tampa Bay United Rowdies,Tampa Bay Rowdies,MLS NEXT,Tampa,FL,https://www.mlsnextsoccer.com/clubs,,
Tormenta FC,Tormenta,MLS NEXT,Statesboro,GA,https://www.mlsnextsoccer.com/clubs,,
Toronto FC Academy,Toronto Academy,MLS NEXT,Toronto,ON,https://www.mlsnextsoccer.com/clubs,,
Total Futbol Academy,Total Futbol Academy,MLS NEXT,Los Angeles,CA,https://www.mlsnextsoccer.com/clubs,,
Total Football Club,Total Football,MLS NEXT,Katy,TX,https://www.mlsnextsoccer.com/clubs,,
Triangle United Soccer,Triangle,MLS NEXT,Chapel Hill,NC,https://www.mlsnextsoccer.com/clubs,,
TSF Academy,Tsf Academy,MLS NEXT,Lincoln Park,NJ,https://www.mlsnextsoccer.com/clubs,,
Valeo Futbol Club,Valeo Futbol,MLS NEXT,Newton,MA,https://www.mlsnextsoccer.com/clubs,,
Vancouver Whitecaps FC Academy,Vancouver Whitecaps Academy,MLS NEXT,Vancouver,BC,https://www.mlsnextsoccer.com/clubs,,
VARDAR Soccer Club,Vardar,MLS NEXT,Rochester Hills,MI,https://www.mlsnextsoccer.com/clubs,,
Ventura County Fusion,Ventura County Fusion,MLS NEXT,Ventura,CA,https://www.mlsnextsoccer.com/clubs,,
Wake Futbol Club,Wake Futbol,MLS NEXT,Holly Springs,NC,https://www.mlsnextsoccer.com/clubs,,
West Florida Flames,West Florida Flames,MLS NEXT,Brandon,FL,https://www.mlsnextsoccer.com/clubs,,
West Virginia Soccer,West Virginia,MLS NEXT,Shepherdstown,WV,https://www.mlsnextsoccer.com/clubs,,
Weston FC,Weston,MLS NEXT,Weston,FL,https://www.mlsnextsoccer.com/clubs,,
Woodside Soccer Club Crush,Woodside Crush,MLS NEXT,Redwood City,CA,https://www.mlsnextsoccer.com/clubs,,
