club_name,team_name,team_name_raw,age_group,gender,division,bracket,conference,org_season_id,event_id,club_id,team_id,league_name,rank,gp,w,l,d,gf,ga,gd,ppg,pts,qualification,source_url
COSC,,COSC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northern Cal 2025-26,69,3929,1470,114556,ECNL,8,16,3,9,4,17,52,-35,0.81,13,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3929/12/69/0/0
Marin FC,,Marin FC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northern Cal 2025-26,69,3929,1585,82675,ECNL,9,17,2,12,3,11,33,-22,0.52,9,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3929/12/69/0/0
Pleasanton RAGE,,Pleasanton RAGE ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northern Cal 2025-26,69,3929,80,44316,ECNL,10,17,1,14,2,10,69,-59,0.29,5,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3929/12/69/0/0
De Anza Force,,De Anza Force ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Northern Cal 2025-26,69,3929,2510,112400,ECNL,11,16,0,14,2,5,61,-56,0.12,2,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3929/12/69/0/0
Dallas Texans Academy,,Dallas Texans Academy ECNL B13 Qualification: Champions League 11,13,Male,,,ECNL Boys Texas 2025-26,70,3890,37,114453,ECNL,1,15,13,1,1,63,11,52,2.66,40,Champions League 11,https://api.athleteone.com/api/Script/get-conference-standings/3890/12/70/0/0
FC Dallas Red,,FC Dallas Red ECNL B13 Qualification: Champions League 24,13,Male,,,ECNL Boys Texas 2025-26,70,3890,47,116038,ECNL,3,16,11,1,4,47,20,27,2.31,37,Champions League 24,https://api.athleteone.com/api/Script/get-conference-standings/3890/12/70/0/0
Dallas Texans,,Dallas Texans ECNL B13 Qualification: Champions League 26,13,Male,,,ECNL Boys Texas 2025-26,70,3890,37,114452,ECNL,4,15,11,3,1,50,19,31,2.26,34,Champions League 26,https://api.athleteone.com/api/Script/get-conference-standings/3890/12/70/0/0
Real Colorado Academy,,Real Colorado Academy ECNL B13 Qualification: Champions League 39,13,Male,,,ECNL Boys Texas 2025-26,70,3890,81,113311,ECNL,5,17,11,4,2,34,28,6,2.05,35,Champions League 39,https://api.athleteone.com/api/Script/get-conference-standings/3890/12/70/0/0
OK Energy FC,,OK Energy FC ECNL B13 Qualification: Champions League 38,13,Male,,,ECNL Boys Texas 2025-26,70,3890,2133,80818,ECNL,6,19,12,4,3,52,32,20,2.05,39,Champions League 38,https://api.athleteone.com/api/Script/get-conference-standings/3890/12/70/0/0
Lonestar Soccer Club Red,,Lonestar Soccer Club Red ECNL B13 Qualification: Champions League 40,13,Male,,,ECNL Boys Texas 2025-26,70,3890,62,114698,ECNL,7,17,11,5,1,38,18,20,2.00,34,Champions League 40,https://api.athleteone.com/api/Script/get-conference-standings/3890/12/70/0/0
FC Dallas White,,FC Dallas White ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas 2025-26,70,3890,47,116040,ECNL,8,17,10,5,2,50,32,18,1.88,32,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3890/12/70/0/0
Solar SC Academy,,Solar SC Academy ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas 2025-26,70,3890,101,113987,ECNL,9,13,7,4,2,30,16,14,1.76,23,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3890/12/70/0/0
DKSC,,DKSC ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas 2025-26,70,3890,35,114023,ECNL,10,15,6,5,4,28,34,-6,1.46,22,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3890/12/70/0/0
Lonestar Soccer Club Black,,Lonestar Soccer Club Black ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas 2025-26,70,3890,62,114685,ECNL,11,17,7,8,2,31,26,5,1.35,23,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3890/12/70/0/0
Albion Hurricanes FC,,Albion Hurricanes FC ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas 2025-26,70,3890,10,69769,ECNL,12,15,5,5,5,28,26,2,1.33,20,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3890/12/70/0/0
RISE SC,,RISE SC ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas 2025-26,70,3890,1772,95935,ECNL,13,15,4,7,4,22,25,-3,1.06,16,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3890/12/70/0/0
FC Westlake,,FC Westlake ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas 2025-26,70,3890,3234,113827,ECNL,14,15,4,10,1,21,40,-19,0.86,13,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3890/12/70/0/0
BVBIA,,BVBIA ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas 2025-26,70,3890,1771,80582,ECNL,15,14,3,9,2,18,33,-15,0.78,11,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3890/12/70/0/0
Colorado Rapids,,Colorado Rapids ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas 2025-26,70,3890,29,111255,ECNL,16,17,4,12,1,23,48,-25,0.76,13,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3890/12/70/0/0
San Antonio City SC,,San Antonio City SC ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas 2025-26,70,3890,2519,114686,ECNL,17,17,3,11,3,21,51,-30,0.70,12,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3890/12/70/0/0
SOLAR SC,,SOLAR SC ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas 2025-26,70,3890,101,76665,ECNL,18,14,1,10,3,13,50,-37,0.42,6,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3890/12/70/0/0
Tulsa SC,,Tulsa SC ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas 2025-26,70,3890,106,43043,ECNL,19,19,2,16,1,15,73,-58,0.36,7,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3890/12/70/0/0
SAFC,,SAFC ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas 2025-26,70,3890,4304,111245,ECNL,20,17,1,16,0,15,72,-57,0.17,3,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3890/12/70/0/0
FC DELCO,,FC DELCO ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls North Atlantic 2025-26,69,3928,598,94408,ECNL,1,14,10,2,2,29,8,21,2.28,32,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3928/12/69/0/0
Match Fit Surf,,Match Fit Surf ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls North Atlantic 2025-26,69,3928,64,43460,ECNL,2,15,11,3,1,38,11,27,2.26,34,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3928/12/69/0/0
PDA Blue,,PDA Blue ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls North Atlantic 2025-26,69,3928,2357,90682,ECNL,3,15,11,4,0,43,15,28,2.20,33,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3928/12/69/0/0
PDA White,,PDA White ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls North Atlantic 2025-26,69,3928,3313,68375,ECNL,4,15,8,3,4,30,18,12,1.86,28,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3928/12/69/0/0
Penn Fusion SA,,Penn Fusion SA ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls North Atlantic 2025-26,69,3928,79,94712,ECNL,5,14,7,4,3,31,13,18,1.71,24,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3928/12/69/0/0
Maryland United FC,,Maryland United FC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls North Atlantic 2025-26,69,3928,419,95035,ECNL,6,13,4,3,6,16,10,6,1.38,18,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3928/12/69/0/0
Philadelphia Ukrainian Nationals,,Philadelphia Ukrainian Nationals ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls North Atlantic 2025-26,69,3928,1345,94622,ECNL,7,15,6,7,2,26,22,4,1.33,20,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3928/12/69/0/0
Bethesda SC,,Bethesda SC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls North Atlantic 2025-26,69,3928,17,95839,ECNL,8,14,2,10,2,17,26,-9,0.57,8,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3928/12/69/0/0
HEX FC Bucks,,HEX FC Bucks ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls North Atlantic 2025-26,69,3928,46,92364,ECNL,9,12,1,11,0,4,40,-36,0.25,3,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3928/12/69/0/0
Pipeline SC,,Pipeline SC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls North Atlantic 2025-26,69,3928,3405,110326,ECNL,10,15,1,14,0,4,75,-71,0.20,3,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3928/12/69/0/0
World Class FC,,World Class FC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls New England 2025-26,69,3927,116,64207,ECNL,1,10,7,1,2,22,10,12,2.30,23,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3927/12/69/0/0
SUSA FC,,SUSA FC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls New England 2025-26,69,3927,9,95340,ECNL,2,12,7,3,2,12,6,6,1.91,23,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3927/12/69/0/0
FSA FC,,FSA FC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls New England 2025-26,69,3927,431,82176,ECNL,3,12,5,0,7,18,9,9,1.83,22,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3927/12/69/0/0
Select,,Select ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls New England 2025-26,69,3927,342,95016,ECNL,4,11,6,3,2,21,7,14,1.81,20,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3927/12/69/0/0
Scorpions SC,,Scorpions SC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls New England 2025-26,69,3927,94,94742,ECNL,5,10,4,4,2,10,9,1,1.40,14,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3927/12/69/0/0
FC Stars Blue,,FC Stars Blue ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls New England 2025-26,69,3927,52,94540,ECNL,6,12,3,6,3,13,16,-3,1.00,12,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3927/12/69/0/0
East Meadow SC,,East Meadow SC ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls New England 2025-26,69,3927,42,95597,ECNL,7,12,3,6,3,9,16,-7,1.00,12,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3927/12/69/0/0
FC Stars White,,FC Stars White ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls New England 2025-26,69,3927,52,82242,ECNL,8,12,1,6,5,4,15,-11,0.66,8,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3927/12/69/0/0
Connecticut FC United,,Connecticut FC United ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls New England 2025-26,69,3927,31,114091,ECNL,9,9,0,7,2,0,21,-21,0.22,2,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3927/12/69/0/0
Solar SC Academy,,Solar SC Academy ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas Champions Cup 2025-26,70,4139,101,113987,ECNL,1,4,3,0,1,13,5,8,2.50,10,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4139/12/70/0/0
FC Dallas Red,,FC Dallas Red ECNL B13 Qualification: Champions League 24,13,Male,,,ECNL Boys Texas Champions Cup 2025-26,70,4139,47,116038,ECNL,2,4,2,1,1,14,6,8,1.75,7,Champions League 24,https://api.athleteone.com/api/Script/get-conference-standings/4139/12/70/0/0
BVBIA,,BVBIA ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas Champions Cup 2025-26,70,4139,1771,80582,ECNL,3,4,2,2,0,7,10,-3,1.50,6,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4139/12/70/0/0
Dallas Texans,,Dallas Texans ECNL B13 Qualification: Champions League 26,13,Male,,,ECNL Boys Texas Champions Cup 2025-26,70,4139,37,114452,ECNL,4,4,2,2,0,5,5,0,1.50,6,Champions League 26,https://api.athleteone.com/api/Script/get-conference-standings/4139/12/70/0/0
Tulsa SC,,Tulsa SC ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas Champions Cup 2025-26,70,4139,106,43043,ECNL,5,4,0,4,0,2,15,-13,0.00,0,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4139/12/70/0/0
Dallas Texans Academy,,Dallas Texans Academy ECNL B13 Qualification: Champions League 11,13,Male,,,ECNL Boys Texas Champions Cup 2025-26,70,4139,37,114453,ECNL,1,4,4,0,0,15,2,13,3.00,12,Champions League 11,https://api.athleteone.com/api/Script/get-conference-standings/4139/12/70/0/0
OK Energy FC,,OK Energy FC ECNL B13 Qualification: Champions League 38,13,Male,,,ECNL Boys Texas Champions Cup 2025-26,70,4139,2133,80818,ECNL,2,4,2,2,0,11,6,5,1.50,6,Champions League 38,https://api.athleteone.com/api/Script/get-conference-standings/4139/12/70/0/0
FC Dallas White,,FC Dallas White ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas Champions Cup 2025-26,70,4139,47,116040,ECNL,3,4,2,2,0,11,6,5,1.50,6,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4139/12/70/0/0
DKSC,,DKSC ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas Champions Cup 2025-26,70,4139,35,114023,ECNL,4,4,2,2,0,6,8,-2,1.50,6,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4139/12/70/0/0
SOLAR SC,,SOLAR SC ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas Champions Cup 2025-26,70,4139,101,76665,ECNL,5,4,0,4,0,1,22,-21,0.00,0,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4139/12/70/0/0
Albion Hurricanes FC,,Albion Hurricanes FC ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas Champions Cup 2025-26,70,4139,10,69769,ECNL,2,4,3,1,0,10,3,7,2.25,9,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4139/12/70/0/0
RISE SC,,RISE SC ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas Champions Cup 2025-26,70,4139,1772,95935,ECNL,3,4,1,1,2,7,6,1,1.25,5,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4139/12/70/0/0
Lonestar Soccer Club Black,,Lonestar Soccer Club Black ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas Champions Cup 2025-26,70,4139,62,114685,ECNL,4,4,1,2,1,8,8,0,1.00,4,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4139/12/70/0/0
Colorado Rapids,,Colorado Rapids ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas Champions Cup 2025-26,70,4139,29,111255,ECNL,5,4,0,4,0,2,19,-17,0.00,0,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4139/12/70/0/0
Real Colorado Academy,,Real Colorado Academy ECNL B13 Qualification: Champions League 39,13,Male,,,ECNL Boys Texas Champions Cup 2025-26,70,4139,81,113311,ECNL,1,4,3,0,1,7,1,6,2.50,10,Champions League 39,https://api.athleteone.com/api/Script/get-conference-standings/4139/12/70/0/0
Lonestar Soccer Club Red,,Lonestar Soccer Club Red ECNL B13 Qualification: Champions League 40,13,Male,,,ECNL Boys Texas Champions Cup 2025-26,70,4139,62,114698,ECNL,2,4,2,0,2,8,3,5,2.00,8,Champions League 40,https://api.athleteone.com/api/Script/get-conference-standings/4139/12/70/0/0
SAFC,,SAFC ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas Champions Cup 2025-26,70,4139,4304,111245,ECNL,3,4,1,1,2,5,5,0,1.25,5,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4139/12/70/0/0
FC Westlake,,FC Westlake ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas Champions Cup 2025-26,70,4139,3234,113827,ECNL,4,4,1,3,0,5,9,-4,0.75,3,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4139/12/70/0/0
San Antonio City SC,,San Antonio City SC ECNL B13 Qualification: n/a,13,Male,,,ECNL Boys Texas Champions Cup 2025-26,70,4139,2519,114686,ECNL,5,4,0,3,1,3,10,-7,0.25,1,n/a,https://api.athleteone.com/api/Script/get-conference-standings/4139/12/70/0/0
Pittsburgh Riverhounds,,Pittsburgh Riverhounds ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Ohio Valley 2025-26,69,3931,538,69760,ECNL,1,16,16,0,0,77,13,64,3.00,48,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3931/12/69/0/0
Ohio Premier,,Ohio Premier ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Ohio Valley 2025-26,69,3931,437,80685,ECNL,2,19,16,2,1,70,16,54,2.57,49,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3931/12/69/0/0
WNY Flash,,WNY Flash ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Ohio Valley 2025-26,69,3931,343,71192,ECNL,3,16,10,6,0,38,29,9,1.87,30,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3931/12/69/0/0
FC Pride Elite,,FC Pride Elite ECNL G13 Qualification: n/a,13,Female,,,ECNL Girls Ohio Valley 2025-26,69,3931,1501,68813,ECNL,4,18,11,7,0,29,21,8,1.83,33,n/a,https://api.athleteone.com/api/Script/get-conference-standings/3931/12/69/0/0
