club_name,canonical_name,league_name,city,state,source_url,website,website_status,website_discovered_at,source_type,website_source
Chicago Empire FC,Chicago Empire,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,https://www.chicagoempirefc.com/,,,,database
Chicago Fire Youth SC (CFYSC),Chicago Fire,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,https://www.mapquest.com/us/illinois/chicago-fire-433641746,,,,database
Colorado Rapids Youth Soccer Club,Colorado Rapids,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,https://rapidsyouthsoccer.org/central/soccer-fields/aurora-sports-park/,,,,database
Florida United,Florida,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,https://www.miramarpal.org/,,,,database
Fox Soccer Academy of the Carolinas,Fox Academy Of The Carolinas,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,https://www.thegiftofsoccer.org/fox-soccer-academy-of-the-carolinas/,search,2026-04-12T02:22:06.041648+00:00,,
Georgia Impact SC,Georgia Impact,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,https://canton.macaronikid.com/directory/6760e0a1510ec94265ee8150/*georgia-impact-soccer-camps,,,,database
Ginga FC,Ginga,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,https://fan.hudl.com/usa/ct/woodbridge/organization/117907/ginga-fc/team/430881/ginga-fc-u14-girls,,,,database
Inter Atlanta FC,Inter Atlanta,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,https://www.interatlantafc.com/,,,,database
Lou Fusz Athletic,Lou Fusz Athletic,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,https://www.loufuszathletic.com/,,,,database
NEFC,Nefc,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,https://www.bbb.org/us/ma/mendon/profile/soccer-clubs/new-englands-premier-soccer-club-nefc-0261-324697,,,,database
Rhode Island Surf,Rhode Island Surf,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,https://runsignup.com/Race/RI/NorthKingstown/RISurf5k,,,,database
Southern Soccer Academy,Southern Academy,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,https://www.usl-academy.com/page/show/6157017-southern-soccer-academy-a,search,2026-04-12T02:22:07.586475+00:00,,
Spokane Shadow,Spokane Shadow,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,https://spokanesounders.org/,,,,ecnl_directory
TopHat,Tophat,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,"https://www.causeiq.com/organizations/tophat-soccer-club,581659209/",,,,database
Tormenta FC,Tormenta,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,https://www.mapquest.com/us/georgia/tormenta-fc-425459977,,,,database
Union KC Soccer Club,Union Kc,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,http://www.unionkcsoccer.com,,,,ecnl_directory
VA Rush Soccer Club,Va Rush,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,http://www.varushboosterclub.com/va-rush.html,,,,database
Wake FC,Wake,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,https://nzonesports.com/wake/locations/kids-soccer-leagues-in-holly-springs-nc,,,,database
Washington East Surf Soccer Club,Washington East Surf,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,https://fan.hudl.com/usa/wa/spokane/organization/176271/washington-east-surf/team/749008/washington-east-surf-sc-u17-ea,,,,database
Western New York Flash,Western New York Flash,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,https://youthsoccergames.com/club/new-york-west/50006273,search,2026-04-12T02:22:09.166500+00:00,,
Western United Pioneers FC,Western Pioneers,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,https://www.maxpreps.com/ca/anaheim/western-pioneers/soccer/winter/,,,,database
West Florida Flames,West Florida Flames,DPL,,,https://system.gotsport.com/org_event/events/37200/clubs,http://fcflames.com/,,,,ecnl_directory
ALBION SC Colorado,Albion Colorado,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs,https://albionsccolorado.org/,,,,database
Houston Rangers,Houston Rangers,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs,https://playclubsoccer.org/club/houston-rangers,,,,database
IdeaSport Soccer Academy,Ideasport Academy,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs,https://ideasport-soccer-academy.wheree.com/,search,2026-04-12T02:22:10.728910+00:00,,
La Roca FC,La Roca,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs,https://www.hudl.com/team/v2/530250/La-Roca-FC-ECNL-B2007,,,,database
NM Rapids SC,Nm Rapids,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs,https://www.nmrapids.org/,,,,ecnl_directory
Sand and Surf SC,Sand And Surf,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs,https://nextdoor.com/pages/sand-and-surf-soccer-club-manhattan-beach-ca-1/,,,,database
Santa Barbara Soccer Club,Santa Barbara,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs,https://santabarbarasc.org/,,,,database
SoCal Elite FC,Socal Elite,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs,https://socalelitefc.com/,,,,database
Wasatch SC,Wasatch,DPL,,,https://system.gotsport.com/org_event/events/37201/clubs,https://www.yellowpages.com/kaysville-ut/mip/wasatch-soccer-club-530281671,,,,database
ALBION SC Las Vegas,Albion Las Vegas,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs,https://albionlvmemorial.com/,,,,database
Capital City SC,Capital,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs,https://soccerzonesouthaustin.ezleagues.ezfacility.com/teams/608304/Capital-City-Soccer.aspx?l=en-US,,,,database
Eastshore Alliance FC,Eastshore Alliance,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs,https://www.chamberofcommerce.com/business-directory/california/berkeley/soccer-club/2029903960-eastshore-alliance-ftbol-club,,,,database
Empire SC,Empire,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs,https://www.mapquest.com/us/new-york/empire-united-soccer-academy-358816306,,,,database
FRAM SC,Fram,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs,https://www.mapquest.com/us/california/fram-soccer-club-367996983,,,,database
GFI Academy,Gfi Academy,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs,https://gfiacademy.com/pages/sugar-land,,,,database
Livermore Fusion SC,Livermore Fusion,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs,https://www.mapquest.com/us/california/livermore-fusion-soccer-club-355289459,,,,database
SDSC Surf,Sdsc Surf,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs,https://www.sandiegosoccerclub.org/,,,,ecnl_directory
Sting Soccer Club,Sting,DPL,,,https://system.gotsport.com/org_event/events/37202/clubs,https://www.texassoccerfields.com/fields/field-detail.php?fid=2147483738&view=marker,,,,database
ASG,Asg,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://www.mapquest.com/us/florida/warner-soccer-asg-426625487,,,,database
Charlotte Independence SC,Charlotte Independence,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://www.mapquest.com/us/north-carolina/charlotte-independence-soccer-club-423814169,,,,database
Chicago City Soccer Club,Chicago,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://www.chicagocitysoccerclub.com/,,,,database
Chula Vista FC,Chula Vista,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://cityscchulavista.com/,,,,database
City SC Utah,Utah,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://sports.deseret.com/high-school/school/riverton/boys-soccer/scores-schedule/2023,,,,database
Colorado United,Colorado,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://nextdoor.com/pages/colorado-united-littleton-soccer-littleton-co/,,,,database
FC Boston Bolts,Boston Bolts,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://bostonbolts.com/,,,,database
FC Stars (IL),Stars,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://soccerstars.com/il/,,,,database
Florida Celtic,Florida Celtic,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://floridaceltic.com/,,,,ecnl_directory
Houston Surf Soccer Club,Houston Surf,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://www.houstonsurfsc.com/youthclassic,,,,database
HTX,Htx,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://htxsoccer.com/,,,,database
IFA,Ifa,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://fan.hudl.com/usa/ma/boston/organization/112477/ifa-new-england,,,,database
Ironbound SC,Ironbound,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://www.tapinto.net/towns/newark/sections/sports/articles/newark-ironbound-soccer-community-it-means-everything,,,,database
JB Marine Soccer Club,Jb Marine,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://youthsoccergames.com/club/missouri/50004523,,,,database
Los Angeles Bulls Soccer Club,Los Angeles Bulls,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,"https://www.causeiq.com/organizations/los-angeles-bulls-soccer-club,813749814/",,,,database
Michigan Jaguars,Michigan Jaguars,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://michiganjaguarsfc.com/club/novi,,,,database
Michigan Stars Elite SC,Michigan Stars Elite,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://www.michiganstarselite.com/,,,,database
Milwaukee Kickers Academy,Milwaukee Kickers Academy,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,,,,,
Nationals,Nationals,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://www.nationalssoccer.com/home,,,,database
Real Colorado,Real Colorado,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://playclubsoccer.org/club/real-colorado,,,,database
Seacoast United Massachusetts,Seacoast Massachusetts,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://youthsoccergames.com/club/massachusetts/50004035,search,2026-04-12T02:22:13.693348+00:00,,
So Cal Blues,So Cal Blues,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,http://www.bluessoccer.com,,,,ecnl_directory
STA Mount Olive Soccer Club,Sta Mount Olive,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://www.stasoccer.org/team/sta-mount-olive/,,,,database
Triangle United,Triangle,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://tyul.usetopscore.com/,,,,database
United Elite,Elite,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://www.idahoelitesoccer.com/,,,,database
Ventura County Fusion,Ventura County Fusion,DPL,,,https://system.gotsport.com/org_event/events/41948/clubs,https://playclubsoccer.org/club/ventura-county-fusion,,,,database
Albion Hurricanes FC,Albion Hurricanes,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.albionhurricanes.org/,,,,ecnl_directory
Arlington Soccer,Arlington,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.arlingtonsoccer.com/,,,,ecnl_directory
Atlanta Fire United,Atlanta Fire,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.atlantaunitedsoccer.com/,,,,ecnl_directory
Bay Area Surf,Bay Area Surf,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.bayareasurf.org,,,,ecnl_directory
Beach FC (CA),Beach,ECNL Girls,,,https://theecnl.com/sports/directory,https://beachfutbolclub.com/,,,,ecnl_directory
Bethesda SC,Bethesda,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.bethesdasoccer.org,,,,ecnl_directory
Boise Thorns FC,Boise Thorns,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.boisetimbersthorns.org,,,,ecnl_directory
CESA Liberty,Cesa Liberty,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.carolinaelitesc.com/,,,,ecnl_directory
COSC,Cosc,ECNL Girls,,,https://theecnl.com/sports/directory,https://californiaodyssey.org/,,,,ecnl_directory
Challenge SC,Challenge,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.challengesoccer.com/,,,,ecnl_directory
Charlotte SA,Charlotte Sa,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.charlottesocceracademy.com/,,,,ecnl_directory
Chicago Inter Soccer,Chicago Inter,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.chicagointersoccer.com/Default.aspx?tabid=262496,,,,ecnl_directory
Classics Elite,Classics Elite,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.classicselite.com/,,,,ecnl_directory
Cleveland Force SC,Cleveland Force,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.clevelandforcesc.com/,,,,ecnl_directory
Colorado Rush Academy Blue,Colorado Rush Academy Blue,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.coloradorush.com/,,,,ecnl_directory
Concorde Fire Platinum,Concorde Fire Platinum,ECNL Girls,,,https://theecnl.com/sports/directory,https://prepsoccer.com/2024/02/ecnl-southeast-conference-overview-concorde-fire-platinum-g08/,,,,database
Concorde Fire Premier,Concorde Fire Premier,ECNL Girls,,,https://theecnl.com/sports/directory,https://prepsoccer.com/program/concorde-fire-premier/,,,,database
Connecticut FC United,Connecticut,ECNL Girls,,,https://theecnl.com/sports/directory,http://connecticutfootballclub.com/,,,,ecnl_directory
DKSC,Dksc,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.dksclub.com,,,,ecnl_directory
Dallas Texans,Dallas Texans,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.dallastexans.com/,,,,ecnl_directory
Davis Legacy,Davis Legacy,ECNL Girls,,,https://theecnl.com/sports/directory,https://davislegacysoccer.org/,,,,database
De Anza Force,De Anza Force,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.deanzaforce.org,,,,ecnl_directory
Eagles SC,Eagles,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.eaglessc.com/,,,,ecnl_directory
Eastside FC,Eastside,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.eastsidefc.org/,search,2026-04-12T02:24:03.035182+00:00,,
Eclipse Select SC,Eclipse Select,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.eclipseselect.org/,,,,ecnl_directory
FC Alliance,Alliance,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.fcallianceknox.org,,,,ecnl_directory
FC Dallas,Dallas,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.fcdallas.com/youth/,,,,ecnl_directory
FC Pride Elite,Pride Elite,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.fcpride.org,,,,ecnl_directory
FC Prime,Prime,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.fc-prime.com,,,,ecnl_directory
FC Stars Blue,Stars Blue,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.starsofma.org/,,,,ecnl_directory
FC Stars White,Stars White,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.starsofma.org/,,,,ecnl_directory
FC Wisconsin,Wisconsin,ECNL Girls,,,https://theecnl.com/sports/directory,http://fcwisconsingirlssoccer.com,,,,ecnl_directory
FSA FC,Fsa,ECNL Girls,,,https://theecnl.com/sports/directory,https://fsasports.com/,,,,database
Fairfax Virginia Union,Fairfax Virginia Union,ECNL Girls,,,https://theecnl.com/sports/directory,"https://www.causeiq.com/organizations/fairfax-brave-soccer-club,881367270/",,,,database
Florida Krush,Florida Krush,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.wpslsoccer.com/teams/florida-krush,,,,database
Florida Premier FC,Florida Premier,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.floridapremierfc.com,,,,ecnl_directory
Florida West FC,Florida West,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.mapquest.com/us/florida/florida-west-fc-782502279,,,,database
GTFC Impact,Gtfc Impact,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.greatertoledofc.org/,,,,ecnl_directory
Gretna Elite Academy,Gretna Elite Academy,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.gretnaeliteacademy.com,,,,ecnl_directory
HEX FC Bucks,Hex Bucks,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.hexfc.com/,,,,ecnl_directory
Indy Eleven Pro Academy,Indy Eleven Pro Academy,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.indyelevenacademy.com,,,,ecnl_directory
Internationals SC,Internationals,ECNL Girls,,,https://theecnl.com/sports/directory,https://playclubsoccer.org/club/internationals-sc,,,,database
Jacksonville FC,Jacksonville,ECNL Girls,,,https://theecnl.com/sports/directory,http://JFCSoccer.com/,,,,ecnl_directory
Kansas City Athletics,Kansas Athletics,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.soccerwire.com/club/kc-athletics/,search,2026-04-12T02:24:04.649585+00:00,,
LV Heat Surf,Lv Heat Surf,ECNL Girls,,,https://theecnl.com/sports/directory,https://lasvegasheatsurf.com/,,,,ecnl_directory
Legends FC San Diego,Legends San Diego,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.legendsfcsd.net,,,,ecnl_directory
Liverpool FC IA Michigan,Liverpool Ia Michigan,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.lfcinternationalacademymi.com/,,,,ecnl_directory
MVLA,Mvla,ECNL Girls,,,https://theecnl.com/sports/directory,https://mvlasc.org/,,,,ecnl_directory
Marin FC,Marin,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.marinfc.org/,,,,ecnl_directory
Maryland United FC,Maryland,ECNL Girls,,,https://theecnl.com/sports/directory,https://soccertournaments.com/us/maryland/upper-marlboro/heritage-cup,,,,database
Match Fit Surf,Match Fit Surf,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.matchfitacademy.net/,,,,ecnl_directory
Michigan Hawks,Michigan Hawks,ECNL Girls,,,https://theecnl.com/sports/directory,https://hawks.soccer/,,,,ecnl_directory
Michigan Hawks Magic,Michigan Hawks Magic,ECNL Girls,,,https://theecnl.com/sports/directory,https://hawks.soccer/,,,,ecnl_directory
Minnesota Thunder,Minnesota Thunder,ECNL Girls,,,https://theecnl.com/sports/directory,http://www.mnthunderacademy.org/,,,,ecnl_directory
Missouri Rush,Missouri Rush,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.morushsoccer.com/,,,,ecnl_directory
NC Courage,Nc Courage,ECNL Girls,,,https://theecnl.com/sports/directory,https://www.ncfcyouth.com/,,,,ecnl_directory
