club_id,club_name_official,club_name_scraped,address_line1,city,state,zip,event_id,league_name,api_url
1690,Sting Austin,Sting Austin,P.O. Box 1404,Pflugerville,Texas,78691-1404,3955,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3955/1690/12
101,Solar Soccer Club,SOLAR SC,107 Sun Creek Drive Suite 300,Allen,Texas,75013,3955,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3955/101/12
37,Dallas Texans,Dallas Texans,2013 Wing Point Lane,Dallas,Texas,75093,3955,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3955/37/12
2134,Oklahoma Celtic Football Club,Oklahoma Celtic,1001 East Robinson St,Norman,Oklahoma,73071,3955,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3955/2134/12
35,DKSC,DKSC,2241 Valwood Parkway # 100,Farmers Branch,Texas,75234,3955,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3955/35/12
3234,FC Westlake,FC Westlake,PO Box 162104,Austin,Texas,78716,3955,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3955/3234/12
36,Sting Soccer Club,Sting Royal,15000 E Beltwood Parkway,Dallas,Texas,75001,3955,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3955/36/12
3594,Arkansas Rising,Arkansas Rising,16603 Cantrell Rd Suite 4,Little Rock,Arkansas,72223,3955,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3955/3594/12
3587,West Side Alliance,West Side Alliance,5214 Greenan Drive,Sand Springs,Oklahoma,74063,3955,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3955/3587/12
25,Challenge Soccer Club,Challenge SC,16949 N Eldridge pkwy #770-203,Tomball,Texas,77377,3955,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3955/25/12
2133,Oklahoma Energy FC,OK Energy FC,1502 W Danforth Rd,Edmond,Oklahoma,73003,3955,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3955/2133/12
1375,Classics Elite Soccer Academy,Classics Elite,11600 Starcrest Dr,San Antonio,Texas,78247,3955,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3955/1375/12
2731,Florida Premier FC,FL Premier FC,13553 FL-54,Odessa,Florida,33556,3936,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3936/2731/12
77,Orlando City Youth Soccer,Orlando City,1900 Seminole Soccer Loop,Sanford,Florida,32771,3936,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3936/77/12
1353,Sporting Jax Soccer Academy,Sporting Jax,112 Bartram Oaks Walk #600308,St Johns,Florida,32260,3936,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3936/1353/12
10,Albion Hurricanes FC,Albion Hurricanes FC,3911 Campbell Road,Houston,Texas,77080,3955,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3955/10/12
379,Florida Kraze Krush,Florida Krush,1073 Willa Springs Dr  #1049,Winter Springs,Florida,32708,3936,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3936/379/12
990,Jacksonville FC,Jacksonville FC,2850 Hodges Boulevard,Jacksonville,Florida,32224,3936,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3936/990/12
4905,St. Petersburg FC,St. Petersburg FC,1815 77th Ave N,St Petersburg,Florida,33702,3936,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3936/4905/12
111,West Florida Flames,West Florida Flames,3104 South Kings Avenue,Brandon,Florida,33511,3936,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3936/111/12
4317,Sporting Club Tallahassee,Sporting Club Tallahassee,PO Box 15229,Tallahassee,Florida,32317,3936,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3936/4317/12
390,Team Boca Soccer,Team Boca Soccer,PO Box 812650,Boca Raton,Florida,33481,3936,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3936/390/12
2329,FC Prime,FC Prime,"4577 N Nob Hill Road, Suite 101",Sunrise,Florida,33351,3936,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3936/2329/12
3384,Florida West FC,Florida West FC,11500 Fenway South Drive,Fort Myers,Florida,33913,3936,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3936/3384/12
358,Sunrise Surf,Sunrise Surf,1856 N Nob Hill Road #219,Sunrise,Florida,33322,3936,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3936/358/12
4314,South Florida FA,SFFA,"8165 Severn Drive, Unit D",Boca Raton,Florida,33433,3936,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3936/4314/12
874,Tampa Bay United,Tampa Bay United,PO Box 272051,Tampa,Florida,33688,3936,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3936/874/12
1288,Great Falls Reston Soccer Club,Great Falls Reston Soccer Club,P.O. Box 836,Great Falls,Virginia,22066,3957,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3957/1288/12
4083,VA Reign FC,VA Reign FC,223 Bulifants Blvd Suite E,Williamsburg,Virginia,23188,3957,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3957/4083/12
3390,Cape Coral SA,Cape Coral SA,PO BOX 100732,Cape Coral,Florida,33910,3936,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3936/3390/12
525,Arlington Soccer,Arlington Soccer,140 S Wise St,Arlington,Virginia,22204,3957,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3957/525/12
4346,FC Prime Miami,FC Prime Miami,"4577 N Nob Hill Road, Suite 101",,,,3936,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3936/4346/12
417,Richmond United,Richmond United Blue,"4202 Park Place Court, Suite D",Glen Allen,Virginia,23060,3957,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3957/417/12
528,Vienna Youth Soccer,Vienna Youth Soccer,P.O. Box 993,Vienna,Virginia,22183,3957,ECNL Regional League Girls,https://api.athleteone.com/api/Script/get-club-info/3957/528/12
